사고년도,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2021,서울특별시 동대문구11,서울특별시 동대문구 이문동(이문대림아파트 부근),4,4,0,1,3,0,127.0673423,37.60328393
2021,서울특별시 중랑구1,서울특별시 중랑구 상봉동(상봉시장앞 부근),11,12,0,5,5,2,127.0861254,37.5917998
2021,서울특별시 중랑구2,서울특별시 중랑구 면목동(면목2동사거리 부근),9,9,0,1,5,3,127.0807117,37.58702205
2021,서울특별시 중랑구3,서울특별시 중랑구 면목동(겸재작은도서관 부근),8,11,0,2,6,3,127.0738461,37.58626371
2021,서울특별시 중랑구4,서울특별시 중랑구 망우동(망우사거리 부근),6,6,0,2,3,1,127.1003863,37.59992585
2021,서울특별시 중랑구5,서울특별시 중랑구 중화동(태능시장 부근),6,7,0,2,2,3,127.0769051,37.59802705
2021,서울특별시 중랑구6,서울특별시 중랑구 중화동(대원메디컬빌딩 부근),6,6,0,2,2,2,127.0781861,37.60185484
2021,서울특별시 중랑구7,서울특별시 중랑구 신내동(중랑소방서앞교차로 부근),6,6,0,1,5,0,127.0961088,37.61477728
2021,서울특별시 중랑구8,서울특별시 중랑구 면목동(중랑전화국앞교차로 부근),5,5,0,2,2,1,127.0800277,37.59175648
2021,서울특별시 중랑구9,서울특별시 중랑구 신내동(진로APT 부근),4,5,1,3,1,0,127.0918181,37.61644055
2021,서울특별시 중랑구10,서울특별시 중랑구 중화동(동부시장앞교차로 부근),4,5,0,1,2,2,127.0770332,37.59426965
2021,서울특별시 중랑구11,서울특별시 중랑구 면목동(장안교앞 부근),4,4,0,0,4,0,127.0789312,37.58152904
2021,서울특별시 성북구1,서울특별시 성북구 종암동(종암사거리 부근),5,5,0,2,3,0,127.0322061,37.60331292
2021,서울특별시 성북구2,서울특별시 성북구 하월곡동(월곡역앞교차로 부근),4,4,0,3,0,1,127.0413884,37.60174369
2021,서울특별시 강북구1,서울특별시 강북구 수유동(광산사거리 부근),8,9,0,0,8,1,127.0223862,37.64326064
2021,서울특별시 강북구2,서울특별시 강북구 번동(번동사거리 부근),6,6,0,2,4,0,127.0330812,37.63562444
2021,서울특별시 강북구3,서울특별시 강북구 미아동(수유치과의원 부근),6,6,0,0,6,0,127.0244621,37.63025502
2021,서울특별시 강북구4,서울특별시 강북구 번동(쌍문시장 부근),4,4,0,1,3,0,127.0268018,37.63987598
2021,서울특별시 강북구5,서울특별시 강북구 번동(수유사거리 부근),4,4,0,0,4,0,127.0245071,37.63712669
2021,서울특별시 도봉구1,서울특별시 도봉구 창동(창동변전소 부근),5,5,0,2,2,1,127.0406121,37.65795674
2021,서울특별시 도봉구2,서울특별시 도봉구 방학동(도봉소방서 부근),4,4,0,0,4,0,127.0427688,37.6644643
2021,서울특별시 노원구1,서울특별시 노원구 상계동(창동교앞교차로 부근),10,10,0,3,6,1,127.0549786,37.65328481
2021,서울특별시 노원구2,서울특별시 노원구 중계동(중계역앞교차로 부근),7,7,1,2,3,1,127.0637225,37.64560978
2021,서울특별시 노원구3,서울특별시 노원구 상계동(상계초교입구교차로 부근),7,7,0,1,4,2,127.0663981,37.65708822
2021,서울특별시 노원구4,서울특별시 노원구 상계동(녹천교앞교차로 부근),6,8,0,2,5,1,127.056422,37.64509264
2021,서울특별시 노원구5,서울특별시 노원구 상계동(노원역 부근),5,6,0,2,4,0,127.0605118,37.6544564
2021,서울특별시 노원구6,서울특별시 노원구 중계동(청암고교앞교차로 부근),5,5,0,1,3,1,127.0727558,37.65148078
2021,서울특별시 노원구7,서울특별시 노원구 중계동(양지근린공원앞 부근),5,5,0,0,2,3,127.0756845,37.64788554
2021,서울특별시 노원구8,서울특별시 노원구 공릉동(태릉입구역앞교차로 부근),4,4,0,2,2,0,127.0755604,37.61770212
2021,서울특별시 노원구9,서울특별시 노원구 하계동(중계롯데아파트 부근),4,5,0,1,3,1,127.0596369,37.63814635
2021,서울특별시 노원구10,서울특별시 노원구 하계동(하계역교차로 부근),4,4,0,1,3,0,127.0686032,37.63605232
2021,서울특별시 은평구1,서울특별시 은평구 역촌동(신사오거리 부근),6,6,0,2,2,2,126.9161417,37.60107383
2021,서울특별시 서대문구1,서울특별시 서대문구 홍은동(홍은동21727 부근),5,6,1,0,3,2,126.9426766,37.59124739
