사고년도,지역,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2022,,서울특별시 송파구4,서울특별시 송파구 잠실동(잠실새내역교차로 부근),7,8,0,2,4,2,127.0843441,37.51169661
2022,,서울특별시 송파구5,서울특별시 송파구 가락동(경찰병원앞교차로 부근),7,8,0,1,4,3,127.12309,37.49485871
2022,,서울특별시 송파구6,서울특별시 송파구 신천동(잠실대교남측 부근),7,7,0,1,4,2,127.0991744,37.51498273
2022,,서울특별시 송파구7,서울특별시 송파구 잠실동(석촌호수서호사거리 부근),6,6,1,2,2,1,127.0997061,37.50682882
2022,,서울특별시 송파구8,서울특별시 송파구 잠실동(잠실여름파출소 부근),6,6,0,4,1,1,127.0803509,37.51842587
2022,,서울특별시 송파구9,서울특별시 송파구 방이동(잠실진주아파트앞교차 부근),6,6,0,3,3,0,127.1088782,37.51595538
2022,,서울특별시 송파구10,서울특별시 송파구 석촌동(석촌역사거리 부근),6,6,0,3,3,0,127.107258,37.50488491
2022,,서울특별시 송파구11,서울특별시 송파구 석촌동(배명사거리 부근),6,6,0,2,3,1,127.0971408,37.50268403
2022,,서울특별시 송파구12,서울특별시 송파구 석촌동(동산교회 부근),6,6,0,2,1,3,127.1041522,37.49949514
2022,,서울특별시 송파구13,서울특별시 송파구 잠실동(잠전초교입구 부근),6,7,0,1,4,2,127.0839124,37.50618943
2022,,서울특별시 송파구14,서울특별시 송파구 신천동(잠실대교JC 부근),6,8,0,1,3,4,127.1005028,37.52263074
2022,,서울특별시 송파구15,서울특별시 송파구 송파동(신도빌딩 부근),5,5,1,1,2,1,127.1103341,37.50798947
2022,,서울특별시 송파구16,서울특별시 송파구 송파동(가락시장 부근),5,6,0,3,3,0,127.1135528,37.49865524
2022,,서울특별시 송파구17,서울특별시 송파구 삼전동(잠실학원사거리 부근),5,7,0,2,5,0,127.0905995,37.507911
2022,,서울특별시 송파구18,서울특별시 송파구 잠실동(잠실대교JC 부근),5,6,0,2,2,2,127.0870217,37.51870384
2022,,서울특별시 송파구19,서울특별시 송파구 송파동(방이동고분군앞교차로 부근),5,5,0,1,4,0,127.1158689,37.50661914
2022,,서울특별시 송파구20,서울특별시 송파구 가락동(가락시장역앞교차로 부근),5,5,0,1,3,1,127.1186221,37.49293129
2022,,서울특별시 송파구21,서울특별시 송파구 가락동(탄천교앞교차로 부근),4,4,1,1,0,2,127.104849,37.49462209
2022,,서울특별시 송파구22,서울특별시 송파구 잠실동(잠실3사거리 부근),4,4,0,3,0,1,127.0929125,37.51161727
2022,,서울특별시 송파구23,서울특별시 송파구 가락동(가락시장입구교차로 부근),4,4,0,2,2,0,127.1091636,37.49550536
2022,,서울특별시 송파구24,서울특별시 송파구 잠실동(청담IC 부근),4,4,0,2,1,1,127.0721034,37.5196289
2022,,서울특별시 송파구25,서울특별시 송파구 석촌동(송파사거리 부근),4,9,0,1,6,2,127.1104285,37.50174134
2022,,서울특별시 송파구26,서울특별시 송파구 잠실동(탄천2교앞교차로 부근),4,4,0,0,4,0,127.077198,37.50518946
2022,,서울특별시 송파구27,서울특별시 송파구 오금동(송파경찰서앞교차로 부근),4,4,0,0,3,1,127.1280642,37.50135853
2022,,서울특별시 강동구1,서울특별시 강동구 천호동(천호사거리 부근),7,7,0,2,2,3,127.1239853,37.53982979
2022,,서울특별시 강동구2,서울특별시 강동구 천호동(광나루안내센터앞 부근),5,7,0,2,5,0,127.1208692,37.54844448
2022,,서울특별시 강동구3,서울특별시 강동구 길동(천동초교 부근),4,4,0,2,2,0,127.1384192,37.54125507
2022,,서울특별시 강동구4,서울특별시 강동구 천호동(천일초교교차로 부근),4,4,0,2,2,0,127.1314775,37.54322831
2022,,서울특별시 강동구5,서울특별시 강동구 성내동(영파여중고앞교차로 부근),4,4,0,1,3,0,127.1216068,37.53421057
2022,,서울특별시 강동구6,서울특별시 강동구 성내동(길동시장 부근),4,4,0,1,2,1,127.1360659,37.53312932
